tweet_positivity,important_words_rate,uppercase_letters,words_starting_with_capital,all_caps_words,tweet_text,reference,verdict
positive,0.776595744680851,3,2,0,@ the_T safe London tonight -- planning record Tipoaa episode tomorrow . ,778,1
neutral,0.6626506024096386,7,7,0,Hasil Lengkap Kejuaraan Dunia di Wembley Arena_ London ,779,1
neutral,0.6891891891891891,11,7,2,CTO - Machine Learning & E-Commerce Job London_ UK ,780,0
neutral,0.6533333333333333,5,5,0,London Drugs ( 2 - 650 South Terminal_ Nanaimo ) ,781,1
positive,0.6917293233082706,1,1,0,Anywho note everyone stay safe smile keep positive quieter night london hope 4 rest captial ,782,1
neutral,0.9280575539568345,46,11,11,@ kynnieisonfire TE CONTAR QUE TINHA MILHÃ•ES DE GAROTAS U VOCE EM LONDRES ? posso atÃ© fazer um album `` ky em london tirei fotas ,783,1
negative,0.8677685950413223,16,13,3,Job Trading Firm ( London ) : Quantitative HFT C++ Developer.+ Extensive C % ... Quant IB Finance job 54 ,784,1
positive,0.43506493506493504,3,2,1,lurdyomex zhintin watch @ jaywonjuwonlo live performance London RT ,785,1
negative,0.7266187050359713,10,5,1,Protesters set bus_ police car ablaze north # London : Police tense standoff pr ... NBCNetwork # BRK ,786,1
negative,0.7266187050359713,10,5,1,Protesters set bus_ police car ablaze north # London : Police tense standoff pr ... NBCNetwork # BRK ,787,0
negative,0.7266187050359713,10,5,1,Protesters set bus_ police car ablaze north # London : Police tense standoff pr ... NBCNetwork # BRK ,788,0
positive,0.8431372549019608,0,0,0,@ sohail_badat wow_ north london come tooo ,789,1
positive,0.7906976744186046,1,1,0,first trumpet sound across London ,790,1
neutral,0.8676470588235294,10,10,0,Hasil Lengkap Kejuaraan Dunia di Wembley Arena_ London : Hasil lengkap pertandingan hari ketiga Kejuaraan Dunia b ... ,791,1
positive,0.6132075471698113,6,6,0,Agent Santos Neymar advise player join Real London 2012 Olympics ,792,1
negative,0.7213114754098361,17,10,1,babe like day late loooool RT @ _Jailisa : yoo happen london ? : c ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,793,0
neutral,0.7373737373737373,2,2,0,Aghhh 5 hour go London_ neeeeeeed sleep . # messedupsleepingpatternssuck ,794,1
positive,0.6129032258064516,4,1,0,@ KimHendra_TT ! account london : ) ? ,795,1
neutral,0.8275862068965517,2,2,0,pagi London . Selamat ? ,796,1
neutral,0.8014705882352942,16,11,2,SEEK - Secretary_ Global Real Estate Firm_ London_ Permanent_ Â£26 ... : PA_ EA & Secretarial_ client wel ... ,797,1
neutral,0.7941176470588235,15,9,1,Rowan Atkinson release hospital crash : LONDON_ Aug 6 â€” â€œ Mr . Bean â€ star Rowan Atkinson leave UK hosp ... ,798,1
neutral,0.75,9,8,1,RT @ delicious50 London market map_ show Portobello Brick Lane Market_ Brixton Market 17 others h ... ,799,1
neutral,0.7416666666666667,2,2,0,Protesters set bus_ police car ablaze north London londonpolice hitbacknow # startrevolt ,800,0
neutral,0.7416666666666667,2,2,0,Protesters set bus_ police car ablaze north London londonpolice hitbacknow # startrevolt ,801,0
neutral,0.7416666666666667,2,2,0,Protesters set bus_ police car ablaze north London londonpolice hitbacknow # startrevolt ,802,0
neutral,0.7416666666666667,2,2,0,Protesters set bus_ police car ablaze north London londonpolice hitbacknow # startrevolt ,803,0
negative,0.7833333333333333,3,3,0,Would get riot South London # wearecivilized . ,804,1
positive,0.6397058823529411,4,4,0,Violence hit new London : Violence break third consecutive day London_ riot police ... ,805,1
neutral,0.7333333333333333,5,5,1,@ biggovt C London citizen terrorists_ t/ Tea Party never commit form violence_ speak Constitution ,806,1
neutral,0.9224137931034483,7,2,1,uma menina lÃƒÂ¡ da sala voltou com um casaco London uhullll ma mÃƒÂ£e dela que foi pra lÃƒÂ¡_ ai que inveja KKK ,807,1
neutral,0.5363636363636364,9,4,1,Manchester Midlands turn London brace FOURTH night rioting ,808,1
neutral,0.7857142857142857,2,2,0,Got visa today . # London come ! ,809,1
positive,0.9197080291970803,14,11,1,RT @ AftershockStyle : London Final Reduction Sale ! Winner announce Monday 1st August . Re-Tweet win fabulous goody bag ! Xx ,810,1
positive,0.49295774647887325,1,1,0,glad live London yet_ riot stuff . ,811,1
neutral,0.5116279069767442,1,1,0,equal # pay rule London nurse hr # ukemplaw ,812,1
neutral,0.6857142857142857,9,6,2,NIN : `` Cars Gary Numan_ London 7.15.09 [ HD ] ,813,1
neutral,0.14705882352941177,2,2,0,Riots London : ,814,1
neutral,0.95,1,1,0,London burning ... ,815,1
neutral,0.7352941176470589,3,3,0,@ Asimhaneef London burning_ fire ... .what Alfie ,816,1
neutral,0.16161616161616163,2,2,0,| London Sydney ,817,1
neutral,0.803030303030303,5,4,0,â€œ @ cnnbrk : Death toll # Syria crisis surpass 2_000_ London-based activist group say . # RamadanMassacre ,818,1
neutral,1.1578947368421053,2,2,0,Hope # London heals . ,819,1
positive,0.6928571428571428,1,0,0,2day strange freak near london bridge day_ sort new flat east_ waterloo pretend tourist # madDay ,820,1
positive,0.7285714285714285,5,3,0,first single playing Radio R.U.M next Tuesday 21/06 start 9 pm london time . teamfollowback # 500aday ,821,1
positive,0.6923076923076923,2,1,0,@ MeaghanShepherd go london one ? : ,822,1
neutral,0.87,12,5,2,RT MatthewDoTT â€œ @ MansoorD : London come like GTA cheat activate < looooool/loooooool ,823,1
neutral,0.4326923076923077,3,2,1,RT @ big_picture : London riot # londonriots ,824,1
positive,0.7573529411764706,4,3,2,# londonriot totally different 97_ right W ? RT @ wimar : Looters criminality cause riots_ fuel racism ,825,1
positive,0.8275862068965517,2,1,0,@ London_Training - happy support lical ! # job ,826,1
positive,0.9154929577464789,8,4,0,@ greysonchance would Little London Girl < 3 # HoldOnTilTheNight ,827,1
neutral,0.9487179487179487,4,3,0,Check distance London Niagara_Falls @ http : //www.distancesbetween.com ! ,828,1
negative,0.6463414634146342,5,5,0,Panic Streets London | Common Dreams : via @ addthis ,829,1
neutral,0.6285714285714286,3,3,0,Colorado resident set sight London Olympics ,830,1
positive,0.7619047619047619,2,2,0,London Love < 3 ,831,1
positive,0.7045454545454546,3,3,0,@ kaitlyngruhler Forever Jealous . near London ? go one hng . ,832,1
neutral,0.7121212121212122,3,3,1,@ darryl1974 north London darryl Tottenham ! X ,833,1
positive,1.0638297872340425,8,6,1,RT @ Ashlee_London : Good Pussy > Basketball Game ,834,1
neutral,0.5916666666666667,2,1,0,@ JosieWaltersx hahaha riot ofcourse_ ai nearly kill london_ get ibiza ,835,1
negative,0.8072289156626506,3,1,1,babe like day late loooool RT @ _Jailisa : yoo happen london ? : c ,836,1
negative,0.6621004566210046,14,9,0,cher security get london sort out.. ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,837,0
positive,0.6940298507462687,3,2,0,@ MarDixon well_ thank . fab couple day go exhibition-crazy London & catch old friend well . ,838,1
positive,0.5779816513761468,3,3,0,westminster anyone know good bar London Waterloo Westminster ? ,839,1
positive,0.7415730337078652,9,9,0,Indie Labels Suffer Significant Inventory Losses Due London Riots ,840,1
positive,1.046875,5,3,2,hehe ka di bksnye_ dkt : ) RT @ martilmartil : Ah ak cileungsi kaa.kaka ? RT @ dundeeozborne : maksutnya adik bukan ka yang di london ,841,1
neutral,0.920863309352518,7,7,0,Tigers Woods struggling_ Aussie Tom Slingsby lead # olympic sail test event_ Cavendish head list London 2012 # cycle test event ,842,1
neutral,0.7142857142857143,7,5,0,aacdd AfroDigitalArt + @ iamthenublack `` Midsummer Meetup London August 20 7:30 - > ,843,1
neutral,0.25925925925925924,1,1,0,London ,844,1
neutral,0.9224137931034483,7,2,1,uma menina lÃƒÂ¡ da sala voltou com um casaco London uhullll ma mÃƒÂ£e dela que foi pra lÃƒÂ¡_ ai que inveja KKK ,845,1
neutral,0.5481171548117155,11,9,1,Stop Racism Pier59Studios Follow @ Daniellismore visionary walk art work racism host London racist party ! X Boycot # LondonRacism ,846,0
neutral,0.6474358974358975,15,10,2,LONDON Sale > V Festival ticket - Hylands Park ( Chelmsford ) ticket - London_ Dublin_ # Lisbon Â£120 ,847,0
positive,0.8275862068965517,2,1,0,@ London_Training - happy support lical ! # job ,848,1
neutral,0.6324786324786325,6,6,0,London 2012 Olympics : canoeist Ella Nicholas chance put Cook Islands map ,849,1
neutral,0.25925925925925924,1,1,0,London ,850,1
positive,0.564179104477612,21,14,2,RT Seanovski91 Funsiizedchiick watch @ jaywonjuwonlo live performance London RT ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,851,0
positive,0.8,8,8,0,Pouring heart dance record nice international feel.. feel like London Egypt Las Vegas India _ Madrid_ Paris one ,852,1
neutral,0.7142857142857143,4,4,0,Assisti `` 90210 : London_ See France ... s3ep7 # orangotag ,853,1
neutral,0.6324786324786325,6,6,0,London 2012 Olympics : canoeist Ella Nicholas chance put Cook Islands map ,854,1
positive,0.46107784431137727,5,4,1,Seanovski91 Funsiizedchiick watch @ jaywonjuwonlo live performance London RT ,855,1
positive,0.6708333333333333,21,12,1,hey @ JCLayfield APA would make kill London right ! ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,856,0
neutral,0.9612403100775194,9,6,1,Pengarah MSD anggap Umno London sebagai `` orang luar walhal umno byk menjalankan aktiviti masyarakat NajibRazak @ Khairykj ,857,1
positive,0.8,8,8,0,Pouring heart dance record nice international feel.. feel like London Egypt Las Vegas India _ Madrid_ Paris one ,858,1
negative,0.8095238095238095,2,2,0,situation London crazy ! Man ... .like something straight movie smh ,859,1
neutral,0.7142857142857143,4,4,0,Assisti `` 90210 : London_ See France ... s3ep7 # orangotag ,860,1
positive,0.642512077294686,6,3,0,face racism londonRiots londonriots Dublin_ # Lisbon @ SamSheps werent allow drink water # londonRiotscuz apparently shite see video ,861,1
positive,0.6555555555555556,6,5,0,face racism london London_ Dublin_ # Lisbon @ SamSheps werent allow drink water London cuz apparently shite see video ,862,1
neutral,0.5481171548117155,11,9,1,Stop Racism Pier59Studios Follow @ Daniellismore visionary walk art work racism host London racist party ! X Boycot # LondonRacism ,863,0
neutral,0.8428571428571429,7,5,1,RT SooriMadsoos â€œ @ cnnbrk : Death toll # Syria crisis surpass 2_000_ London-based activist group say . httâ€¦ ( cont ) ,864,0
neutral,0.7524752475247525,12,10,1,Drinking London Pride Fuller Smith & Turner PLC @ British Beer Company Ã¢â‚¬ â€ ,865,1
positive,0.676056338028169,7,3,1,@ JCLayfield APA would make kill London right ! ,866,1
negative,0.6928571428571428,13,7,2,walk home clapton Stoke Newington could hear load siren . Thought typical North London RIOT TIME ,867,1
neutral,0.9612403100775194,9,6,1,Pengarah MSD anggap Umno London sebagai `` orang luar walhal umno byk menjalankan aktiviti masyarakat NajibRazak @ Khairykj ,868,1
negative,0.8095238095238095,2,2,0,situation London crazy ! Man ... .like something straight movie smh ,869,1
neutral,0.7046263345195729,17,12,0,Tottenham riot : Double decker bus set ablaze mob violence hit London : double deckerÃ¢â‚¬Â¦ ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,870,0
positive,0.6438356164383562,9,3,1,PISSING . Good luck # gcfam London come soak . ,871,1
neutral,0.7524752475247525,12,10,1,Drinking London Pride Fuller Smith & Turner PLC @ British Beer Company Ã¢â‚¬ â€ ,872,1
neutral,0.9339622641509434,12,8,2,Rocksicle_Lover RT @ tink_a_licious : ***Selling 2 ticket London show Floor 2 Row J*** . Please RT ,873,1
negative,0.697841726618705,13,7,2,walk home clapton Stoke Newington could hear load siren . Thought typical North London RIOT TIME ,874,1
neutral,0.8805970149253731,2,2,0,Cant wait get hm im goin zzzzz till Tomorrow london allows ,875,1
neutral,0.7459016393442623,3,3,0,# Tottenham riot : Double decker bus set ablaze mob violence hit London : double deckerÃ¢â‚¬Â¦ ,876,1
positive,0.6296296296296297,9,4,2,Remel_London RT @ MisssN : love way guardian journo BBC newswoman place . `` let ... ,877,1
positive,0.6438356164383562,9,3,1,PISSING . Good luck # gcfam London come soak . ,878,1
positive,0.5443037974683544,9,5,1,Virgin Media punt FREE London WiFi network ,879,1
neutral,0.9339622641509434,12,8,2,Rocksicle_Lover RT @ tink_a_licious : ***Selling 2 ticket London show Floor 2 Row J*** . Please RT ,880,1
positive,0.5426356589147286,9,8,1,Warren Zevon Ã¢â‚¬ â€œ Werewolves London - 2007 Remastered Live LP Version ,881,1
neutral,0.8805970149253731,2,2,0,Cant wait get hm im goin zzzzz till Tomorrow london allows ,882,1
positive,0.7619047619047619,9,4,2,RT : Lol # LondonRiotsjus ALOT spit gee . ! almost touch me . ! ,883,1
neutral,0.6363636363636364,15,8,1,wonder go London Zoo *opens CNN app* LondonRiots UkRiots StopAttacking # BeSafe @ JoHusain ,884,0
positive,0.9295774647887324,4,2,1,lol RT @ London_Londyn : shake weight homo nigga & bitch wiggas . ,885,1
positive,0.6296296296296297,9,4,2,Remel_London RT @ MisssN : love way guardian journo BBC newswoman place . `` let ... ,886,1
negative,0.5833333333333334,1,1,0,guess im miss something riot destroy everything London_ someone tell start ? ,887,1
positive,0.5443037974683544,9,5,1,Virgin Media punt FREE London WiFi network ,888,1
neutral,0.8518518518518519,1,1,0,Buno buenoo ... london ,889,1
positive,0.5426356589147286,9,8,1,Warren Zevon Ã¢â‚¬ â€œ Werewolves London - 2007 Remastered Live LP Version ,890,1
positive,0.65625,1,1,0,@ lucyttaylor yeah London week go beer @ jamestanner01 end dinner pollen street : ) ,891,1
positive,0.9295774647887324,4,2,1,lol RT @ London_Londyn : shake weight homo nigga & bitch wiggas . ,892,1
positive,0.7411764705882353,7,5,1,BBC News - London riot : Met Police launch major investigation ,893,1
negative,0.5833333333333334,1,1,0,guess im miss something riot destroy everything London_ someone tell start ? ,894,1
positive,0.3384615384615385,2,2,0,great ad Santo London ,895,1
neutral,0.8518518518518519,1,1,0,Buno buenoo ... london ,896,1
negative,0.5158730158730159,3,3,0,Shit fuck London . happen America daily ? much_ more_ iniquity . ,897,1
positive,0.65625,1,1,0,@ lucyttaylor yeah London week go beer @ jamestanner01 end dinner pollen street : ) ,898,1
negative,0.7313432835820896,0,0,0,@ stefanabingdon much long ? would stay night wait need sleep london tomorrow im wake 4am : ( xxx ,899,1
positive,0.7411764705882353,7,5,1,BBC News - London riot : Met Police launch major investigation ,900,1
neutral,0.8823529411764706,3,3,0,Wat wiv dz london Riots # hitmeup sef ! God tke control ooo ,901,0
neutral,0.7079646017699115,6,5,1,Expect mass deportation Nigerians UK come week co . Plus looting # London end . ,902,0
positive,0.6375,12,6,2,Nice SEO Agency # London - SEOgadget LTD checkzz @ ,903,1
neutral,0.6375,6,6,0,Etsy Storque : May 2010_ London-based artist Jeremy Hutchison read article assembly line worker w ... ,904,1
neutral,0.8428571428571429,7,5,1,RT SooriMadsoos â€œ @ cnnbrk : Death toll # Syria crisis surpass 2_000_ London-based activist group say . httâ€¦ ( cont ) ,905,0
positive,0.3384615384615385,2,2,0,great ad Santo London ,906,1
negative,0.5904761904761905,3,2,0,@ TytlMusic hey lads_ head # London ? try head queen hoxton . ,907,1
negative,0.7157894736842105,9,4,0,Maple & mustard Wtf London ? TheThingThatShouldNotBe # fb checkzz @ ,908,1
positive,0.9666666666666667,6,3,1,cool . RT @ iPhotos_London : Crossing Sky # iphoneography ,909,1
neutral,0.7415730337078652,0,0,0,@ princeton4evar-we flyin london next month meet u ringstead road ,910,1
neutral,0.98989898989899,8,8,0,london # job Senior Consultant - Financial Services Business Change Location Salary : 40000-80000 ,911,1
neutral,0.8775510204081632,2,1,0,@ PixieBrownin lool wat word ? east london ,912,1
neutral,0.5664739884393064,9,6,1,HotPantsâ€“ Zaggora - # London checkzz @ Drop size 2 week wear hotpants Â£19 instead Â£45 @ KGB Deals ,913,1
neutral,0.680327868852459,7,7,0,Review : Daniel Hope electrify Brahms Romantics checkzz @ - London # Entertainment ,914,1
neutral,0.9021739130434783,9,6,2,RT @ Luvs2Vaca Anyone sell floor seat # London please contact ! need 2 Please RT . ,915,1
positive,1.032258064516129,2,2,0,@ Loosiebomboosie love # London ,916,1
negative,0.5158730158730159,3,3,0,Shit fuck London . happen America daily ? much_ more_ iniquity . ,917,1
neutral,0.9696969696969697,10,1,0,@ AsToldBy_LONDON ctfuuu always pull dem unk move . # lateTweet ,918,1
neutral,0.8924731182795699,6,4,1,RT @ Ben2011_London : Matthysse v Morales officially do deal_ accord @ chavarecord ,919,1
positive,0.7058823529411765,2,2,0,@ megan4fonzie food + talent like night london shit Think excite . Aaaa ,920,1
neutral,0.773972602739726,22,12,2,SEACOR Response Provide Fire Fighting Support Services Oil Pipelines Country Georgia : LONDON -- ( ... checkzz @ ,921,1
neutral,0.7373737373737373,8,5,1,like iTunes Festival : # London 2011 - EP Ramona Ping checkzz @ # iTunes ,922,1
negative,0.8870967741935484,1,1,0,@ mehdijaffer allow go Egypt_ hear london gon na mad ! ,923,1
positive,0.7608695652173914,3,3,0,@ parisstu Well sort of_ work/career/lifestyle available move # London overseas ... Thailand everytime . ,924,1
positive,0.7619047619047619,11,9,0,Deals # London East : 78 % Night Live Music Entertainment ... Groupon MyCityDeal checkzz @ bristol deal # daily ,925,1
positive,0.8014184397163121,2,2,0,wonder @ Smarty1979 find hotel ... little tispy phone die ! London pretty big # hopehissenseofdirectionisworking ,926,1
neutral,0.8561643835616438,18,10,2,GeoNews Altaf ask people purchase one-month ration LONDON : Muttahida Qaumi Movement ( MQM ) Chief Altaf Hussa ... checkzz @ ,927,1
negative,0.7313432835820896,0,0,0,@ stefanabingdon much long ? would stay night wait need sleep london tomorrow im wake 4am : ( xxx ,928,1
positive,0.7441860465116279,11,6,1,LONDON Jobs education > Lecturer - Health Social Care checkzz @ ,929,1
positive,0.7636363636363637,7,4,1,@ WeSupport_JB Yeah exactly _ think would good something here_as thing R # London . ,930,1
positive,0.896551724137931,9,8,0,Great day # London Dad_ . British Museum Love Never Dies.Boiling hot though ! ,931,1
neutral,0.4244604316546763,3,3,0,Update Dawn premiere date # London - checkzz via @ twifans ,932,1
positive,0.7699115044247787,48,11,10,RT @ l0NDA_LoNDON : MAD CAUSE @ Fancy_Kashira FLY WAN NA NEVA WANNABE ... LOVE SISTA ! ,933,1
positive,1.0151515151515151,0,0,0,@ fabiana_london eu queeeeero_ Ã© melhor coisa gente ! *-* hahahaha ,934,1
positive,0.6836734693877551,5,5,0,# London - Hot Silver Jewellery webshop launch Check ! - checkzz @ ,935,1
positive,0.7934782608695652,9,9,0,European Poker Tour Ept Season 2 Episode 3 Full # London Day 1 checkzz @ ,936,1
positive,0.9818181818181818,2,2,0,boombox live # London com Mcfly_ Ã© pra morrer sÃ³ pode ,937,1
positive,0.8888888888888888,4,4,0,# np Till Gone Wiz dat # London guy lol ,938,1
positive,0.8461538461538461,3,3,0,smart move ! Ã¢â‚¬Å“ @ omarulhaq : Got ta love Apple ! # London : ( via @ khanvictdxb ) Ã¢â‚¬Â ,939,1
positive,0.7602739726027398,11,6,1,Xstrata set 40 percent jump H1 profit_ strong H2 : LONDON ( Reuters ) - Xstrata expect post almo ... checkzz @ ,940,1
positive,0.7602739726027398,11,6,1,Xstrata set 40 percent jump H1 profit_ strong H2 : LONDON ( Reuters ) - Xstrata expect post almo ... checkzz @ ,941,1
positive,0.7602739726027398,11,6,1,Xstrata set 40 percent jump H1 profit_ strong H2 : LONDON ( Reuters ) - Xstrata expect post almo ... checkzz @ ,942,1
negative,0.8674698795180723,0,0,0,wish cud go sun holiday 4 week ... london woz long ago : ( need beach ! ,943,1
neutral,0.7126436781609196,9,7,1,# London Luton Airport LTN ) ( Airport Way_ Luton ) checkzz @ ,944,1
negative,0.6805555555555556,4,4,0,Kinda miss # London moment Weird Might go back . ,945,1
positive,0.559322033898305,1,1,0,new # London 2012 logo checkzz @ ,946,1
positive,0.5714285714285714,1,1,0,# London seem like pleasant right . ,947,1
positive,0.7415730337078652,3,3,0,Probably right_ Goodell delusional think put franchise # London . ,948,1
negative,0.5266666666666666,4,4,0,Check video -- # London Riots - Scum steal injured boy . checkzz via @ youtube ,949,1
neutral,0.45588235294117646,3,2,0,Force # LondonRiot . checkzz @ ,950,0
negative,0.8133333333333334,3,3,0,@ aledsavedlatin Scary stuff . Lie way go # London ? would ! ,951,1
neutral,0.8435374149659864,16,7,2,News # London AbhÃ¶rskandal : Â« News World Â» wird eingestellt - ZEIT ONLINE : serienjunkies.deLo ... checkzz @ news # google ,952,1
negative,0.6504854368932039,7,7,0,# London Olympics Bill Compare Previous Games ? - Forbes checkzz @ ,953,1
neutral,0.564625850340136,2,2,0,Rioters go rampage north # London follow protest fatal shoot arm officer checkzz @ ,954,0
positive,0.7536231884057971,6,4,1,RT @ AaronSpartz : old gon na live # London ? Nop ! ,955,1
positive,0.7956989247311828,0,0,0,there nothing even rob east london unless indian bare sari n shiz thats . ,956,1
neutral,1.0172413793103448,4,4,0,Sentada ya en el avion Au revoir Venezuela # London baby ! ,957,1
positive,1.0810810810810811,2,2,0,@ mr_ifour # London . Rioting go wild ! ,958,1
negative,1.0952380952380953,5,3,1,North London doe WTF ! ,959,1
negative,0.75,7,6,1,Stringer Bell speak RT @ idriselba : # London Come aint Fallback shit ! ,960,1
neutral,0.7878787878787878,5,3,0,@ GEMission Please ask everyone join together pray peace # London area senseless destruction continue . ,961,1
neutral,0.8435374149659864,16,7,2,News # London AbhÃ¶rskandal : Â« News World Â» wird eingestellt - ZEIT ONLINE : serienjunkies.deLo ... checkzz @ news # google ,962,0
neutral,0.7857142857142857,6,0,0,@ theonly_LONDON yall ,963,1
positive,0.9894736842105263,6,3,1,BabyjaneJuliet @ azharieazhar izzit true ? 9.30am MYT mean # London 2.30am *ifi'mnotmistaken* ,964,1
positive,0.7876712328767124,12,7,1,Xstrata set 40 percent jump H1 profit_ strong H2 : LONDON ( Reuters ) - Xstrata expect p ... checkzz @ - > Reuters ,965,1
neutral,0.7241379310344828,8,7,1,RT @ jonalex5 Rioting # London Mirror Feelings Lower Class checkzz @ cdnpoli # tcot ,966,1
positive,0.9056603773584906,28,6,3,Screw London_ GOOD MANCHESTER THOUGH.. REALLY ? ,967,1
neutral,1.0476190476190477,16,5,3,LONDON RIOTS : Tue_ 9 Aug 2011 19:00:00 CST ,968,0
neutral,0.8227848101265823,9,9,0,Yahoo ! Sports : London Riots # hitmeup cast pall Olympics ( Yahoo ! Sports ) : Londons Olympic committee look incr ... checkzz @ ,969,1
neutral,0.8702290076335878,11,11,0,Selby jennings london Junior Senior Job Hedge fund ( London ) Quantitative Equities Portfolio Manag ... Master 58 ,970,1
positive,0.7578947368421053,4,1,1,OOHH say make icon british flag show support london : ) # prayforlondon ,971,1
positive,0.6357142857142857,3,2,0,@ teknulp Yeah knife place road . # London good far . email 2m.Hope enjoy life kitchen . ,972,1
neutral,0.6054421768707483,4,4,0,Police bus set fire north # London clash : Violence erupt street Tottenham ... checkzz @ ,973,0
positive,0.7602739726027398,11,6,1,Xstrata set 40 percent jump H1 profit_ strong H2 : LONDON ( Reuters ) - Xstrata expect post almo ... checkzz @ ,974,1
positive,0.7454545454545455,10,4,1,RT @ Omoge_SASHA : Lord love magnify name _ please bless street london peace Amen ,975,1
negative,0.688,5,5,0,Photo tour Samsung Galaxy Tab 10.1 launch event # London : luckyâ€¦ checkzz @ # android ,976,1
positive,0.5,2,2,0,Classic # London ! checkzz @ ,977,1
neutral,0.8113207547169812,2,2,0,Hoping peace # London tomorrow . hopeful ! ,978,1
neutral,0.8067226890756303,7,5,0,Hope DonnieWahlberg & jordanknight show afterparty @ 29 & Park tonite London girl @ BellaGina12 ,979,1
negative,0.888,61,12,8,# SOMEDAY harrod @ justinbieber - HARRODS_ OMG : ( ! GET POUNDLAND JUSTIN_ HARRODS_ LONDON_ IM POOR . GOD DAMN ,980,1
neutral,0.8435374149659864,16,7,2,News # London AbhÃ¶rskandal : Â« News World Â» wird eingestellt - ZEIT ONLINE : serienjunkies.deLo ... checkzz @ news # google ,981,1
neutral,0.75,3,2,0,@ Rocksicle_Lover come # London show ? ,982,1
neutral,0.6326530612244898,7,7,0,# London 57 % : Colonic Hydrotherapy Session Diagnostic Consultation ... checkzz @ # Groupon ,983,1
negative,0.7891156462585034,15,13,1,Billboard Bits : Stevie Wonder Drake Album_ # London Calling Olympic Ads : ( MuchMusic ) According BB ... checkzz @ ,984,1
negative,0.7589285714285714,2,2,0,Small group rioter case mayhem across # London even loot set fire rife # londonriots ,985,1
neutral,0.6761904761904762,6,6,0,# Management Accountant job # London Venn Group checkzz @ # Management ,986,1
positive,0.7516778523489933,5,5,0,story tell someone Greater Cincinnati tie London affect Riots # hitmeup ? Tweet e-mail localnews @ enquirer.com ,987,1
neutral,0.7021276595744681,9,7,1,check : # London Burning â€“ Shoot : Amy Weston/Wenn.com via NY Mag ,988,1
negative,0.86,6,2,0,@ GoatKING dream take place # London ? : ( ,989,1
neutral,0.6973684210526315,6,6,0,Keyboard Player Wanted - London United Kingdom # job ,990,1
neutral,0.7054794520547946,17,7,0,Pirates eye share Gulf Guinea rich : LONDON/DAKAR_ July 29 ( Reuters ) - attack ship Gul ... checkzz @ ,991,1
positive,0.75,4,4,0,take # London see New York Fireworks . ,992,1
neutral,1.2857142857142858,1,1,0,# London ,993,1
positive,0.7753623188405797,7,7,0,Opening tonight Far art show_ 16-18 Heneage St._ Brick Lane_ London_ include first exhibit work daughter . ,994,1
neutral,1.1176470588235294,0,0,0,@ london_brenda de hacer que ? .___ . ,995,1
neutral,0.524822695035461,3,2,1,throw thought mix : rioting across ( ) # London evidence independent UK ? ,996,1
neutral,0.6504065040650406,9,9,0,Aer Lingus Ends : Wed_ 31 Aug - # London Heathrow â‚¬29.99 Aer Lingus.. checkzz @ ,997,1
negative,0.6333333333333333,9,8,0,Topic_ # London Riots : Heard yob Center Walton Le Dale.Richard . checkzz @ ,998,1
neutral,0.7872340425531915,9,9,0,Headline : # London Rioters Resent Media Image Hooded Teen Thug checkzz @ ,999,1
neutral,0.6533333333333333,3,3,0,Riots hitmeup thingy # London ? Craxxxxxy mehn . ,1000,1
positive,0.6119402985074627,1,1,0,hot London_ way anyone sleep tonight ... ,1001,1
positive,0.7307692307692307,4,3,0,@ CookieDude_2332 Pretty much_ take break # London day . ,1002,1
neutral,0.6179775280898876,1,1,0,bar # London sell vaporize vodka_ inhale instead sip . ,1003,1
positive,0.5714285714285714,3,3,0,North ( England ) world away # London . mostly talk woman dress night . ,1004,1
neutral,0.5238095238095238,1,1,0,# London ? ,1005,1
neutral,0.5423728813559322,2,2,0,Last night # London . checkzz @ ,1006,0
neutral,0.7421875,4,4,0,Trafalguar square cloudy weather # London Trafalguar square sous le nuages # Londres checkzz @ ,1007,1
negative,0.7529411764705882,4,4,0,London_ Birmingham Liverpool seriously control ! # Englandriots ,1008,1
negative,0.7704918032786885,8,2,1,Summer FINALLY hit london ( least ) time eyy ! ,1009,1
positive,0.7297297297297297,2,2,0,Hope London friends safe x ,1010,1
neutral,0.6363636363636364,15,8,1,wonder go London Zoo *opens CNN app* LondonRiots UkRiots StopAttacking # BeSafe @ JoHusain ,1011,0
neutral,0.47101449275362317,6,6,0,Friends_ 30 go London_ today cover Bird Wire Leonard Cohen ! ... ,1012,1
negative,0.7959183673469388,10,10,0,Halloween Already ? Pete Burns Steps # London ! ( Photos ) : Poor Pete Burns_ every six month former 8 ... checkzz @ ,1013,1
positive,0.8163265306122449,11,11,0,Social Media : Senior Web Developer Consumer Media Publishing Aston Carter - # London : wor ... checkzz @ # socialmedia ,1014,1
positive,0.9183673469387755,3,3,0,# London fire Headline Swedish newspaper o_o ,1015,1
